mean_fit_time,subsample,reg_lambda,reg_alpha,n_estimators,min_child_weight,max_depth,learning_rate,gamma,colsample_bytree,mean_test_rmse,std_test_score,rank_test_score
0.08371143341064453,0.6,0.5,1.0,100,3,5,0.01,2,0.6,4.151679605602457,0.144907706706775,1
0.05602617263793945,0.6,0.5,0.1,100,1,5,0.01,1,0.8,4.165988945632185,0.15740144795506925,2
0.05468907356262207,0.8,0.1,0,300,1,2,0.01,1,0.6,4.229327253750521,0.1916242225365703,3
0.6074237823486328,0.9,0.1,1.0,300,3,5,0.01,2,0.7,4.264788967102908,0.16262562318412077,4
0.5938528060913086,0.6,2.0,0.1,200,7,5,0.05,1,0.7,4.268501245828574,0.20653989896573374,5
0.1503066062927246,0.9,1.0,0.5,500,3,6,0.05,0.5,0.8,4.300413512599355,0.21339267822670582,6
0.03871002197265625,0.7,0.5,0.5,100,7,3,0.05,0,0.9,4.3038546928885655,0.129857580251193,7
0.11642661094665527,0.6,2.0,1.0,300,5,4,0.05,0.5,0.7,4.3647670684070246,0.16627030669009624,8
0.0838883399963379,0.7,1.0,1.0,200,1,6,0.1,1,0.7,4.393124024094703,0.1644201517920723,9
0.5613843917846679,0.8,0.5,0.5,200,1,6,0.2,0.5,0.7,4.395194864585828,0.11745940122443434,10
0.20818300247192384,0.8,1.0,0.5,200,1,5,0.1,0,0.9,4.41251564384352,0.2236539052708402,11
0.050747251510620116,0.9,0.5,0.5,200,7,3,0.05,0.5,0.8,4.41575057417595,0.1445939965614901,12
0.05992202758789063,0.9,0.5,0.1,200,3,6,0.1,2,0.9,4.438252950437708,0.2768508370321206,13
0.05802340507507324,0.9,0.1,0.5,200,1,3,0.1,0,0.8,4.447804234542578,0.3165431010102261,14
0.0617316722869873,0.8,0.5,0.5,200,5,5,0.1,1,0.6,4.449574245563329,0.15233302053704476,15
0.0932386875152588,0.9,0.5,0,200,1,4,0.2,0.5,0.7,4.469480656338701,0.20123115176415102,16
0.06532483100891114,0.7,2.0,0.1,300,3,6,0.2,2,0.9,4.49544385474335,0.2803431911969939,17
0.10007438659667969,0.9,0.5,0.1,300,5,3,0.1,0.5,0.9,4.519462299849281,0.16353073887966108,18
0.09920210838317871,0.8,1.0,0,500,3,2,0.05,0,0.7,4.530685919833388,0.17448926704462583,19
0.029076623916625976,0.7,0.1,0,100,7,3,0.2,0,0.9,4.585183025225791,0.23336229580633483,20
